Tweet,Target 1,Stance 1,seen?,GT Target
"What was the voter's intent in Michigan, California, and Florida? Was it to replace overt racial preferences with similar but less transparent and complex racial preferences? No. It was to eliminate racial preferences. PERIOD. How is this not clear? Those here who openly discuss and plan to subvert the will of the voters based on their personal ideology is a disgrace to our system. You've been ordered by the voters to stop this, so stop it. Now. I support the effort to give any child with distinct socioeconomic disadvantages the pathway to a college education, but I don't support it as solely a means to an end to implement the same racial preferences that were just banned.",education,FAVOR,1,invalid
"Easy access to relevant and accurate information is a cornerstone in our democracy. How can we not have specialists (aka librarians) who find, catalog, index, and protect the information used by all of us? We all frequently rely on specialists - medical, technical, financial, etc. - for the best information and advice. In this exploding universe of digital information, let's encourage our academic and governmental decision makers to fully realize the critical and specialized value that librarians provide to patrons of all ages.",information security,FAVOR,1,invalid
There should be no exeptions from vaccinations with the exception of valid medical exemptions i.e. an individual with a serious allergy to the vaccine for example an egg alergy in the case of the flu vaccine. Asside from that demonstratable allergy no exemptions for either personal belief or religion should be entertained. If I had my way vaccinations would be a part of a single payer national health system providing universal care. The private sector has proved itself to be incompetent to provide modern health care and need to step asside.,public health,FAVOR,1,invalid
"I believe that felons should have to petition a court for restoration of their complete citizenship rights. Those that can show a reformed lifestyle should have their rights restored. Some will argue that if they have paid their debt to society they should be automatically be restored, but we make sex offenders register and limit their housing choices. Child molesters are forbidden from some occupations. We do limit the rights and freedoms of some felons even after they have served their time. I do not believe anyone convicted of a violent crime should ever be able to own guns.",reputation,FAVOR,1,invalid
Justice Ginsburg is old enough to do whatever she wants! A sort of old age privilege available to anybody who has passed their 80th birthday. And Trump is dangerous enough to scare even the devil. Ginsburg did the right thing.,ginsburg,FAVOR,1,invalid
There should be no exeptions from vaccinations with the exception of valid medical exemptions i.e. an individual with a serious allergy to the vaccine for example an egg alergy in the case of the flu vaccine. Asside from that demonstratable allergy no exemptions for either personal belief or religion should be entertained. If I had my way vaccinations would be a part of a single payer national health system providing universal care. The private sector has proved itself to be incompetent to provide modern health care and need to step asside.,universal access,FAVOR,1,invalid
"If one of the objectives is to protect the holy sites of Judaism, Christianity and Islam, it would be best to reinforce Israeli dominion over this area. Israel is the only stable, democratic force in the region with the assets to protect Jerusalem. So, regardless of the benefit(s) to the state of Israel, it is in the world's interests to have foreign embassies to Israel in Jerusalem rather than Tel Aviv.",security,FAVOR,1,invalid
"I agree with this 100 percent. Growing up overseas, I played sports w/ a German city club. Not only is it separate from school, but it allows kids to sample a wide diversity of sports (e.g. squash, handball, track. fencing) in addition to the standard.",fencing,FAVOR,1,invalid
"Paying for something, anything, makes a person MORE civilized, not less. Men who rape, or short change, a prostitute are likely to do the same with their girlfriends and wives. There are only four ways a human being can procure anything in this world: Beg, borrow, steal, or, in a civilized society, pay for it. Anyone who thinks someone doesn't pay for sex has never been married. Period.",paying for something,FAVOR,1,invalid
Electric cars have been a long time coming. Now that Solar pannels have become more more popular we will see the increase of electric cars productivity. It's really common sense: solar panels will absorb the energy into batteries which will forever provide electricity to run these cars. It's time!!! the sun power is always there even on cloudy days!!! I only wish I could convert my 2003 Nissan into an electric car. Could that be possible? Solar pannels will forever make us independent.,solar,FAVOR,1,invalid
"This will be awesome, like the Model T Ford- a car that the people who employed making it can also afford to buy! Hopefully Leaf Factories will be franchised into mid-sized cities across the US. If so, Nissan will be in front of Toyota and Honda within 3 years. If they can get the price point below $15k, they'll sell 50 million of them.",factory,FAVOR,1,invalid
"To me the most compelling reason to have children earlier rather than later, if possible, is the current make-up of our public schools. I have over 20 years teaching experience from 3rd grade through high school and GED programs. The correlation of older parents and the rise of autism and general growth of special education would be more than enough for me to hurry my decision to have children if in a committed relationship. The longer you wait, the higher your risks. If you think raising healthy children is challenging, imagine your day is 24/7 caring for a human being who will never be able to take care of him or herself, as you enter what should be the retirement/relaxing stage of life. It's no wonder we are blaming our schools and teachers for our educational failures, who wants to look in the mirror anymore?",children,FAVOR,1,invalid
"Dual citizens are a big asset to any country, but especially to the US. Since US tax laws require all citizens (and also green-card holders) to report all their worldwide income and economic activity to the IRS every year, and pay US tax on any otherwise non-taxed items, any dual citizen, or green-card holder, who does not renounce his citizenship or green card, is actually a very dedicated and valuable citizen for the US to hold on to. Since the level of corruption available to taxpayers overseas is generally very much wider than in the US, dual citizens are exhibiting a very big commitment to the US when they hold onto their dual citizenship.",dual,FAVOR,1,invalid
"The difference between us and them is that we don't target civilians as a matter of policy. That said, I wish we could draft the children and grandchildren of those who demand we conduct war by sending troops instead of drones.",grandparents,FAVOR,1,invalid
"From the Ocean State, with a few beaches here of our own, and laws protecting rights of way to the shoreline dating back to colonial times, we must not let money dictate access. I see obscene sums of money thrown at efforts to overthrow ancient public access rights. Every rich out of towner shows up, buys property that has allowed public access of one kind or another for centuries, and then does their damnedest to change the rules. Hey pal, you're a smart guy, you knew what you were buying! On the other hand, I think members of the public should respect the adjacent property owners by keeping litter, noise and nuisance to a minimum. The only thing that I know that can close a beach to access here is piping plovers hatching.",public access,FAVOR,1,invalid
"Moving the U.S. Embassy to Jerusalem is a way to tell the Palestinians that compromise is necessary if they want an independent state. Ever since 1947, the Arab world has rejected an independent Palestinian state because it has not been willing to recognize facts on the ground and make necessary concessions. Never before in history has there been an independence movement that rejected a state of its own because of a boundary dispute. There are close to 500,000 Israeli Jews living in Maale Adumim and other areas around Jerusalem. Israel cannot move them away kicking and screaming--as it did with settlers in Gaza. The Arab world has to stop making statements like the Three No's of Khartoum, which happened in 1967, and the refusal of the generous agreement that Clinton negotiated at Taba in the last moments of his presidency. Moving the Embassy to Jerusalem will tell the Palestinians that they have to compromise.",situated protest,FAVOR,1,invalid
"We recently visited a no-tipping restaurant in Athens, Ohio -- Casa Nueva -- and I was surprised how liberating it felt with no need to tip. We just paid the stated price for our meal, period. How simple! And I felt good that the waitstaff (and behind-the-scenes cooks and busboys) were making a good wage. I've waited tables and I know the thrill of big tips, but as a diner I now vastly prefer the flat-rate, no-tip system. End tips, raise my prices and pay the waitstaff a great wage, please!",no-tipping,FAVOR,1,invalid
"The wealthy have excelled at positioning their homes so they have the best views of the ocean, the mountains, the lakes, and the forests. Isn't that enough? Why do they fell entitled to prevent anyone else from access to our natural landscape? The Romans were right, public beaches for all!",public beach,FAVOR,1,invalid
"Solving the Israeli-Palestinian conflict would take away much of the motivation for terrorism around the world."" Everyone's been saying that for years. We should start sending security bills to Tel-Aviv Israel is only bringing the US down in its International Stature and sucking up the tax dollars of Americans across the country! The US is only a pawn in Israel's hands.",security in the,FAVOR,1,invalid
"Schools should be required to report data on class size, nature of classes, graduation rates and post-graduation on employment, employment related to field of study, income and the like. Based on that, students should make their own choices. Schools should be sanctioned for misrepresenting the data, but should not be ranked as such.",data quality,FAVOR,1,invalid
"The best part of collet age voters is that they have nothing to steal, but feel that they deserve what the old people have worked to earn. Fortunately, we become more conservative as we get older and have contributed something real to the community, otherwise the our party would have run off the rails long ago.",age voters,FAVOR,1,invalid
"This is a very timely discussion for me. My own daughter is in high school (an all-girls Catholic high school) and I would very much like her to consider women's colleges as an option. I think they do foster women's leadership. I started looking around for academically rigorous Catholic women's colleges; the menu of options was very limited, so I expanded the search to include other women's schools as well. I can't help but think the tide will turn for these schools as professional women of my generation (I went to a girls HS, co-ed college and law school) look at colleges for their own daughters and see the potential in these schools for encouraging female leadership.",women in education,FAVOR,1,invalid
"DR Ballantyne- Sydenhams views no longer apply to modern medicine- we have treatments now- like platelet rich plasma, LENS neurofeedback, stem cell therapy, German new medicine, neural prolotherapy, oxidized ATP, MitoQ, ESWT, acupotomy- that you and your colleagues need to learn to help people in pain. No doubt the overuse of opioids has stemmed from the moral laziness of doctors when it came to offer the right care for people in pain. Doctors and medicine is still remiss in developing and deploying good treatment for pain. And training based on the little that pain specialists know and do will be of too little help to people in pain. Its time for Ballantyne to call for raising standards of care for all involved in pain care. And lets not maketoo much out of past treatments for the prevalence of pain is on the rise.",treatment,FAVOR,1,invalid
"Dual citizenship is a sign of the times, and a good one. It means people can reach beyond borders, live with others of a different culture in peace and increase the understanding between the world's cultures, religions etc. The notion that people should be beholden to a country is old-fashioned. A country in the end is just a piece of land between borders. What matters - and what keeps a country viable - are the values a country stands for. No piece of paper is going to change someone's allegiance in times of peace or war. Even Americans, when fighting in wars, always herald higher goals than mere defense of their country. It's about freedom, human rights and democracy. Those are values shares by the citizens of most countries in the world.",international relations,FAVOR,1,invalid
"I absolutely agree with this article. The Teach for America program needs to have their teachers in the classroom a whole lot longer than two years in order to make a critical difference. Without longer teaching commitments, teachers in the Teach For America program will not be able to improve their skills and children will continue to suffer the consequences. Would a five year Teach for America commitment change things?...I believe that's a start.",teacher commitment,FAVOR,1,invalid
"Years ago ultimate was a destination for athletes from a variety of sports looking for something better. Apart from the fun of the sport, spirit of the game attracted athletes away from their roots in more conventional referee based sports. The sport has grown tremendously in the past 20 years and there are now legions of ultimate players the world over--competitive athletes--who identify as ultimate players. They practice hard, they travel to compete, they are committed to the sport through playing, coaching, and leadership. Having represented my university, my hometown, and my country at national and world championships, I am thrilled that American boys and girls now playing for their middle school or high school teams will soon be playing for USA on the greatest stage of all. Ultimate will restore and advance the Olympic spirit. And yes, observers to settle disputes that players cannot themselves immediately settle is the way to go.",international championship,FAVOR,1,invalid
"Well beyond doubt, the Electric Car technology is an environment friendly technology and a welcome one. But when it comes to business, it is not only the future savings, but also the affordability factor that needs to be kept in mind. As usual, only a select few will go for it initially. Later the masses will follow the suit, as and when the products get more and more affordable.",sustainable hci,FAVOR,1,invalid
"I am embarrassed for the N Y Times for giving any space to this tired old myth. It is time for the Times to make a stand for the truth. If you cannot do it on the Middle East, if you cannot do it on Fracking and Climate Change, if you can't do it on Bernie Sanders, you can, at least, do it here on marijuanna.",truth,FAVOR,1,invalid
"The way I see it, it is better for people to have children later in life than sooner. From an evolutionary point of view, to be the child of parents that were in their 40s when they had you means that (a) both your parents survived until their 40s and (b) they were fertile too in their 40s. So, genetically, the offspring's chances to atteign - at least - that age and be also able to reproduce at that age are increased. Give it a couple of centuries of that policy and it could rise humanity's (at least in the western world) life expectancy by raising, among others, our reproductive expectancy.",children,FAVOR,1,invalid
"Lentils, whole beans, millets are great sources of B vitamins, their bioavailability increases if they are soaked overnight. Millets can even be sprouted then pound into a flour, they are gluten free. Some millets contain high amounts of calcium as well. Quinoa is another rich source of nutrition all around. As far as brain food is concerned, dairy and dairy products make up for lack of meat protein. However for stric vegans who exclude fairly products or those with lactose intolerance, meat and meat products is a good option. Being flexible is a great thing, being too strict or restrictive doesn't help anyone. Moderation is key, mix of vegetarianism, non vegetarianism is awesome, if one is willing to be flexible. Life is colorful not black and white so why limit food?",millet,FAVOR,1,invalid
"As Caroline Glicks less than artful use of quotation marks demonstrates, many people, especially Israelis are unwilling to even recognize the existence of the Palestinian people, let alone state. Much easier to appropriate land and refuse to respect anothers basic human rights if you refuse to admit they are even there, or fully human. First and foremost should be the full recognition that a people can be defined by any name they choose and have the right to a voice in establishing their future and a right to equal status under the law. Just as the fact there was no Israel, or Israelis 100 years ago doesn't negate that nations right to self determination, so the same should be for the Palestinians. Nations should recognize the Palestinian people and their right to not be held in legal limbo. Hillel said ""That which is despicable to you, do not do to your fellow, this is the whole Torah, and the rest is commentary, go and learn it."" It is despicable to me that one people can hold dominion over another. That needs to end, all the rest is just details.",human values,FAVOR,1,invalid
"""Plant Strong is the Way"" - I agree! I've been vegan for over 10 years and I've never felt better. I feel healthier in mind, body and spirit and than ever before. There is so much cultural resistance to veganism - we are literally programmed to think we ""need"" to eat meat, put eggs in cakes, milk in our cereal, etc. But being vegan is ""mainstream"" now and increasingly popular. Not only is consuming animal products not necessary, but it has led to the untold suffering of trillions of animals. We all have the choice to not participate in that. I know and have met countless vegan individuals, from all walks of life, who are very, very healthy. There is no doubt in my mind that it's the healthiest way to live.",health,FAVOR,1,invalid
"It's good to see that the educational bureaucracy is falling into line behind this proposal. Laggards and doubters can surely be brought around by the prospect of generous federal grants to develop ratings systems models and protocols and test them on various institutional cohorts. The primary goal of education is, of course, is to produce uniform and interchangeable cogs for the economic machine, so that it will hum smoothly and predictably. A college ratings system will extend the infallible testing paradigm into whole new realms, taking our country to heretofore unimaginable new heights of sameness. The wise sages at the Business Roundtable and the Gates Foundation will love it. The great successes of the primary and secondary school testing models can now be applied to the entire educational system. Victory is almost in our grasp.",educational ratings systems,FAVOR,1,invalid
The borders must be closed. PEople should be stopped from going there and coming from there or pretending to. Refugee intake must be radically reduced. We are playing with fire people. Europe will fall apart if this flood of angry people continues. The right will rise up. Europeans are seeing their cities destroyed.,border security,FAVOR,1,invalid
"I would go even further. Making all beaches public, and requiring public access to all beaches WITHOUT the beach-goer having to pay a fee to get to the beach. FOr instance, the NOrthern California coast is spectacular, north of San Francisco. I find it offensive to come to a place like Sea Ranch, and find that all the pullouts along highway 1 in this area, from where one can walk to the beach, require you to pay a fee to park. So, unless you are traveling the highway without a car, there is no way to access the beach at Sea Ranch without paying a fee. THis should be forbidden. In my view, we should also prevent people from being able to buy land within a certain distance of the water in areas that remain undeveloped, in order to better preserve these undeveloped areas.",public access,FAVOR,1,invalid
"Nationalizing the banks would only move them from a bureaucracy that is too big to one that is even larger. If we do nationalize them, at least do it the way we created Government Motors, creating smaller leaner institutions. I would support the Warren-McCain Glass-Steagall Act update. The one issue overlooked in this discussion is the lobbying power of Wall Street bankers that is a roadblock to host of issues from tax reform to their War on the Poor to regulation. Could I suggest that a change in the phraseology from Too Big to Fail to Too Big to Regulate?",regulation,FAVOR,1,invalid
"I work at the Bunny Ranch, a legal brothel in Nevada. Nobody lives on site... Those that live locally (as opposed to those that fly in from all over the country) go home at night. Those that fly in can go or do whatever they choose after their shift is over, just like any other job. We can also refuse a client for any reason or no reason at all as well as being able tosee our own prices for any activity and change them on a whim. If there should ever be any problems (which is extrodinarilly rare because, as you mebtioned, the clients know better) response by the law is very fast. I also am university educated and have every opportunity in the world. I chose my line of work of my own free will and I love it. When I no longer love it I will leave.",job,FAVOR,1,invalid
"I was a library aide in elementary school, for Mrs Archer, who treated both books and people with respect. I still have the dictionary she gave me at the end of sixth grade, when I moved up to junior high school, and another library. Mrs Archer and Mrs DeVoll, who ran the public library branch in my neighborhood, were both a huge part of my life as a child -- I am incredibly grateful to them and to all their colleagues, and am thrilled to have this chance to recognize them here, among their peers.",library staff,FAVOR,1,invalid
"Lentils, whole beans, millets are great sources of B vitamins, their bioavailability increases if they are soaked overnight. Millets can even be sprouted then pound into a flour, they are gluten free. Some millets contain high amounts of calcium as well. Quinoa is another rich source of nutrition all around. As far as brain food is concerned, dairy and dairy products make up for lack of meat protein. However for stric vegans who exclude fairly products or those with lactose intolerance, meat and meat products is a good option. Being flexible is a great thing, being too strict or restrictive doesn't help anyone. Moderation is key, mix of vegetarianism, non vegetarianism is awesome, if one is willing to be flexible. Life is colorful not black and white so why limit food?",flexibility,FAVOR,1,invalid
"Bravo! cats with front claws often do terrible damage to furniture. While it is politically correct to object to it, the fact is there will be fewer homes for cats, who will end up being euthanized. The comparison isn't between an imaginary garden of Eden and declawing, but rather the choice is between more feral cats and more put down. Those of us who love cats don't want to see well-meaning humans decree that millions of cats suffer to meet the needs of humans.",cats,FAVOR,1,invalid
Electric cars have been a long time coming. Now that Solar pannels have become more more popular we will see the increase of electric cars productivity. It's really common sense: solar panels will absorb the energy into batteries which will forever provide electricity to run these cars. It's time!!! the sun power is always there even on cloudy days!!! I only wish I could convert my 2003 Nissan into an electric car. Could that be possible? Solar pannels will forever make us independent.,solar power,FAVOR,1,invalid
"Parents can start by disconnecting from their own social networking addictions and not diving into their cell phones every 3 minutes. Leave work and the world behind! Parents need to genuinely interact with their children, otherwise what's the point of taking the family somewhere new if everyone is simply bringing along their own 'entertainment bubble'? Take children to where they can really interact with real people or nature, not the plasticised, calorific worlds of ghastly theme parks and the like. For city kids especially, how about a farm vacation, where they can see how food is raised?",parents,FAVOR,1,invalid
"I admire vegans because they've chosen a challenging lifestyle requiring a lot of work, discipline and attention. I tried it briefly because I'm so repulsed by the idea of eating a dead animal. It's so primitive. But after a few weeks of veganism I craved dairy foods so much that I couldn't think straight. So I gave in, and drink milk and eat cheese and eggs. And when I have an overwhelming desire for some meat I eat just a very small amount. Judging from my experience, I'm left with the feeling that humans should perhaps evolve biologically, slowly, and wean themselves from meat over many years. Accent plant foods and cut meat servings to half, for starters. I do believe there will come a time, perhaps 100 years from now, when humans will look back on meat eating with disgust.",vegans,FAVOR,1,invalid
"I'm all for broad education. I'm a product of it. As a teacher and professor I spent my professional life in it,. And in my college planning practice, I've guided most of my students towards it. But Mr. Hamed is exactly right when he says, ""If our goal is to lift students from poverty to high-paying programming jobs, this school's curriculum is admirable."" It may or may not produce the next Steve Jobs - we can argue about how geniuses arise some other time - but good vocational education lifts students who otherwise might flounder and founder into jobs that provide them with pride, stability and a good living. I wish more schools did as much.",curriculum,FAVOR,1,invalid
I live in Florida which makes it very difficult to restore civil rights to felons. The laws have become a new form of Jim Crow to prevent minorities from voting. Your chance of becoming a felon is much greater if you are dark of skin hue. Or a different ethnicity than being a WASP. Time to end this persecution of people We need to reform our justice system.. After release all voting rights should be restored . If a non violent conviction even the right to own fire arms should be restored.,separation of rights,FAVOR,1,invalid
"As a school librarian who enjoys working with our local public library system, I think there is a lot to be said for looking at ways for the two to work together more closely to best serve our students, not as a cost-saving measure. Can we deliver better service and aid student achievement by joining up more effectively? But while there is overlap in the goals of public and school libraries, they have a different focus in their staffing and services. In addition, as teachers are asked to do more and more, a school librarian is able to support THEIR training needs and those of students to provide instruction and resources that match their curricular needs. The school librarian provides a fantastic value, reaching every single child and staff member in a school - every program, teacher, administrator, and students of every background and ability are served. Talk about bang for your buck!",service level,FAVOR,1,invalid
"I drove the Leaf last week. It's a super little car that will be launch electric travel for the masses. For those who claim it will run up electric prices by burning more oil, they just don't realize that coal burning electric plants never shut down. One can't save electricity. You don't turn the plant off at night just because demand is low. That's why charging cars at night makes so much sense. Secondly, if you have solar in your home, you're already providing the grid with additional clean power. I hope that green technology will go hand-in-hand with the Leaf and other electric vehicles. And lastly, the average person drives less than one hundred miles a day. This giant fear of getting stuck is just that -- fear. It's amazing how fear stops progress. Be bold people. Let's get off oil and free our politics by making it a little easier to make peace.",electric vehicles,FAVOR,1,invalid
"I couldn't agree more, that parents should have a choice. it's america after all. HOWEVER, the school districts then must be allowed to reject the attendance of those unvaccinated students. Let the anti-vaxers start their own private schools that their children can attend, and die from preventable diseases to their hearts content. (and although that is cruel, it is only cruel because that is exactly what will happen to them!)",public policy,FAVOR,1,invalid
"There is absolutly nothing wrong with a vegan diet in any of the stages of life, there are many cases of life long vegans from all over the world who are very healthy so i will rule out genetics and ancestry roots to what we can tolerate or not. the problem with why some people think it is inadequate is because they do not know what vegans can or cannot eat, and then there is a lot of misinformation from people that want to protect their own interest of meat eating telling others that it is dangerous! if you plan well your diet and know what you are eating then it is as simple as pie and anybody can benefit from a strict vegetrian diet. it is obvious that if all you eat is lettuce it can be very dangerous for you and most probably fatal, the same can be said if all you eat is red meat with red meat! however if you eat a wide variety of plant based foods your body can aquire all of the essential nutrients that it needs to thrive.",plant based foods,FAVOR,1,invalid
"Whatever the fate of the majority of women's colleges, the best such as Wellesley should survive. Why not have choice. I am unaware of any remaining, highly selective men's colleges, but choice should be preserved for women, especially if they can enroll in courses at nearby co-ed universities that are equally selective. Perhaps among the little Ivies, one or two should have remained all male. I went to a university that from the outset was to be co-ed (ok it took a few years while it raised money for a women's dorm). More than a few of my female contemporaries went on to excel in medical schools, law schools, and graduate school. I never noticed, however, any particular women's point of view in class; just excellence.","""womens colleges""",FAVOR,1,invalid
"""... the development of a ratings system is a complex and massive - but not impossible - undertaking"": Well, this gets two out of three right. ""I commend President Obama and his administration for tackling this difficult endeavor"": Being nice to them might be a smart career move, but it isn't going to do SUNY any good. ""I ... encourage my colleagues across the country to seek out an active role in the process."" The administration has already told your colleagues how much it values their input; you echo that message when you write ""whether we like it or not.""",us,FAVOR,1,invalid
"Easy access to relevant and accurate information is a cornerstone in our democracy. How can we not have specialists (aka librarians) who find, catalog, index, and protect the information used by all of us? We all frequently rely on specialists - medical, technical, financial, etc. - for the best information and advice. In this exploding universe of digital information, let's encourage our academic and governmental decision makers to fully realize the critical and specialized value that librarians provide to patrons of all ages.",librarians,FAVOR,1,invalid
"Yes. Thank you. Except: > And for those who develop a substance dependency, marijuana regulation will generate revenue to support drug treatment for those who need and want it. That's the reactive approach. Resources do need to go to treatment. but also to prior education. The fact that people do not recognize alcohol as a far more dangerous drug than marijuana is more proof than we'd ever need that we are making rules without having even a basic understanding of the science or sociology of addiction.",policy,FAVOR,1,invalid
"My understanding is that college athletic teams were started to teach leadership, discipline and teamwork to students. With the introduction of the athletic scholarship schools went down the slippery slope of bringing in kids who either were not prepared to do collegiate work or had no serious intent of gaining a degree. Instead of being a benefit to the academic student body, athletics became something more geared toward the fan in the stands and the alumni association- students be damned. What Spelman has done is right in so many ways. The new program will benefit all students, will open new friendships among students and will give students valuable training in how to maintain a healthy body for a lifetime. Truth be told, intramural athletics can provide the same benefits to the student body as varsity and can engage many more students at a far lower price. The fitness program is wonderful.",teamwork,FAVOR,1,invalid
"Income is income and should be taxed as the least harmful of all taxes. Eliminate property tax, but tax all income at the same graduated rates. Currently, there is no benefit in savings with interest rates at .3%. Investors should be encouraged to invest in capital projects or improvements, or donate to philanthropic groups by taxing idle income.",tax,FAVOR,1,invalid
"As one who has not a single dream in 70 years of life despite many therapists asserting that I certainly had dreams and just stubbornly redefined them as something else; I would welcome the idea of scripting dreams! Having attempted directed dreaming, directed meditation, countless visualization methods, and the like; I'll accept the notion of dreaming, but without the personal experience I must concede that I am like the blind man wondering on the nature of a sunrise! So all you script writers; please script away!!",visualization,FAVOR,1,invalid
"As one who has not a single dream in 70 years of life despite many therapists asserting that I certainly had dreams and just stubbornly redefined them as something else; I would welcome the idea of scripting dreams! Having attempted directed dreaming, directed meditation, countless visualization methods, and the like; I'll accept the notion of dreaming, but without the personal experience I must concede that I am like the blind man wondering on the nature of a sunrise! So all you script writers; please script away!!",visualization of dreams,FAVOR,1,invalid
"#21 is right so far as this is a legal issue re. employee/employer. But enough's enough. Let people speak their minds. These are tough times; there's lot's to be upset about. Less repression and less what's essentially sanctimonious PR by the complainers might do us more good in the long run. The point of a right to free speech is precisely that some people's opinions about important things are bound to offend (i.e., really offend) some other people (and draw negative attention). So, we (the right thinking one's among us) are offended, uncomfortable, squirming; get over it.",right thinking,FAVOR,1,invalid
